COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
TU792,Community and Youth Development,101,,288,101,,250,,6/7
TU793,Early Childhood Care and Education,220,,386,220,,,,6/7
TU794,Early Childhood Care and Education,230,,376,390,,250,,6/7
TU795,Visual Merchandising and Display,481,,763,481,,,,6/7
TU796,Creative Digital Media,225,,383,225,,,,6/7
TU801,Biomedical Design,235,,381,235,,,,8
TU802,Electrical Services and Energy Management,300,,352,317,,300,,8
TU803,Electronic Engineering,243,,337,243,,243,,8
TU804,Engineering (Common Entry with Award options),271,,338,271,,,,8
TU805,Engineering (General Entry),402,,466,402,,,,8
TU806,Sustainable Energy Engineering,262,,318,262,,,,8
TU807,Computer Engineering in Mobile Systems,276,,305,276,,,,8
TU808,Engineering Software,260,,339,260,,260,,8
TU809,Mechanical Engineering,235,,347,235,,,,8
TU810,Mechatronic Engineering,271,,312,270,,,,8
TU811,Product Design,411,,444,411,,,,8
TU812,"Design,Technology and Innovation",270,,350,270,,,,8
TU813,Automation Engineering,218,,339,218,,218,,8
TU814,Transport Operations and Technology,251,,372,285,,251,,8
TU831,Architectural Technology,410,,444,410,,,,8
